Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,id,likes,geometry,nearest_geom,nearest_block
West Brighton,40.631878926546065,-74.1071817826561,Duffy's Tavern,40.629687570971996,-74.11092877250825,Burger Joint,4c140b2d7f7f2d7f463de068,35,POINT (-74.11092877250825 40.629687570972),POINT (-74.11221105529999 40.6292462312),36085012100
Park Slope,40.67232052268197,-73.97705030183924,Elan Salon & Day Spa,40.6724174696629,-73.9769681277668,Spa,4b568c8bf964a520d11428e3,5,POINT (-73.9769681277668 40.6724174696629),POINT (-73.97608040199999 40.6722110553),36047015700
Brookville,40.660003227336134,-73.75175310731153,Super Deli,40.66015253012815,-73.75155416237699,Deli / Bodega,4e1633f96284b506cfd7bb69,0,POINT (-73.75155416237699 40.66015253012815),POINT (-73.7513065327 40.6609045226),36081068000
Woodside,40.746349088602216,-73.90184166838284,The Beerkeeper,40.74547158055854,-73.90588553144923,Bar,57decff3498e8b15653fce13,17,POINT (-73.90588553144923 40.74547158055854),POINT (-73.90643216079999 40.7445728643),36081024900
Cobble Hill,40.687919722485574,-73.99856139218463,Vekslers,40.68534457902491,-74.00068713289978,Bar,51ddd36f498ea2ad70eb9129,138,POINT (-74.00068713289978 40.68534457902491),POINT (-74.0014070352 40.6857788945),36047004700
Ocean Parkway,40.61305976667942,-73.96836678035541,Chocochino Cafe,40.613614,-73.963422,Café,50784b788aca77683d5d6dce,2,POINT (-73.96342199999999 40.613614),POINT (-73.9634170854 40.6134170854),36047044200
Carroll Gardens,40.68054023107649,-73.99465372828006,Claudine's,40.68135218751321,-73.99410672670723,Italian Restaurant,506cb4a8e4b02db545b4bf5c,22,POINT (-73.99410672670723 40.68135218751321),POINT (-73.99507537689999 40.6812562814),36047007500
Belmont,40.857277100738955,-73.88845196134805,Casa Della Mozzarella,40.855439999942725,-73.88737265373734,Deli / Bodega,4ae8732df964a5206daf21e3,72,POINT (-73.88737265373734 40.85543999994272),POINT (-73.8874371859 40.8553768844),36005039100
Sunnyside Gardens,40.74565180608076,-73.91819286431682,Sanger Hall,40.74614689541117,-73.91533073996835,Bar,5ab05c1566fc650b7a9c57c4,12,POINT (-73.91533073996835 40.74614689541117),POINT (-73.91592964819999 40.7468341709),36081016900
Fulton Ferry,40.70328109093014,-73.99550751888415,Harriet’s,40.702377,-73.995688,Cocktail Bar,5c92e418a35dce002c971220,13,POINT (-73.995688 40.702377),POINT (-73.99507537689999 40.7016080402),36047000100
Manhattanville,40.81693442949779,-73.9573853935188,Bettolona,40.814083849456225,-73.95957422392542,Italian Restaurant,4c956003f7cfa1cd2e2ebd15,90,POINT (-73.95957422392542 40.81408384945622),POINT (-73.9602512563 40.8146733668),36061021100
Shore Acres,40.60971934079284,-74.0666776606177,Rosebank Tavern,40.612474,-74.065212,Bar,4c8544c647cc224b6d8b9f9f,4,POINT (-74.065212 40.612474),POINT (-74.0647236181 40.6134170854),36085000600
Sunnyside Gardens,40.74565180608076,-73.91819286431682,Subway,40.74217243985778,-73.91948386530328,Sandwich Place,4c488dc41879c9b64adce143,2,POINT (-73.91948386530328 40.74217243985778),POINT (-73.91909547739999 40.7423115578),36081018300
Downtown,40.69084402109802,-73.98346337431099,Someday Bar,40.68725900000001,-73.98638100000002,Bar,5cd4a651a2a6ce002cedee73,22,POINT (-73.98638100000002 40.68725900000001),POINT (-73.98557788939999 40.688040201),36047004100
Upper East Side,40.77563857330181,-73.96050763135,Emmy Squared,40.775582,-73.956576,Pizza Place,5dcc4f94d4b62c0009df23dd,12,POINT (-73.956576 40.775582),POINT (-73.9570854271 40.7762311558),36061014000
Carroll Gardens,40.68054023107649,-73.99465372828006,Malai,40.682672206431825,-73.99321534955325,Ice Cream Shop,5b760f531fa763002c6a624f,40,POINT (-73.99321534955325 40.68267220643182),POINT (-73.9919095477 40.6835175879),36047006900
Flatlands,40.630446043757466,-73.92911302644673,McDonald's,40.632118034905155,-73.92863802147076,Fast Food Restaurant,4ba6aa23f964a520366739e3,30,POINT (-73.92863802147076 40.63211803490515),POINT (-73.92859296479999 40.6315075377),36047072200
Belmont,40.857277100738955,-73.88845196134805,Estrellita Poblana,40.85400959882801,-73.88892348848158,Mexican Restaurant,4c27e5e0fe6e2d7f4f84523c,67,POINT (-73.88892348848158 40.85400959882801),POINT (-73.8874371859 40.8531155779),36005039100
South Side,40.71086147265064,-73.95800095153331,Daymoves,40.71310397344715,-73.9572586119175,Coffee Shop,5d839388ebc5f800089cea77,37,POINT (-73.9572586119175 40.71310397344715),POINT (-73.9570854271 40.7129145729),36047051900
West Brighton,40.631878926546065,-74.1071817826561,Planet Wings,40.630485336466606,-74.10621278154174,Fast Food Restaurant,4d571e4cfb65236a4f930eb4,7,POINT (-74.10621278154174 40.63048533646661),POINT (-74.105879397 40.6315075377),36085006700
Oakland Gardens,40.74561857141855,-73.75494976234332,River Japanese Cuisine,40.74802759297992,-73.7563485681792,Sushi Restaurant,4e1e3cfdc65bd9e1fddc9450,44,POINT (-73.75634856817921 40.74802759297992),POINT (-73.757638191 40.7490954774),36081139900
